Team,Opposition,MatchID,Tournament,TotalPoints,Scores,Conversions,Total PointsConceded,Tries,Total Tries Conceded,Try Scoring Rate(1 every x secs),Try Conceding Rate(1 every x secs),Tries Scored Build-Up(No Ruck/Maul),Tries Conceded Build-Up(No Ruck/Maul),Opp22m Entries,Opp22m Entry Rate (1 every x secs),Own22m Entries,Own22m Entry Rate(1 every x secs),Tries Scored per Opp22m Entry,Tries Conceded per Own22m Entry,Possession Time,Possession Time(Opp),Passes,Passing Rate(1 every x secs),Rucks Attack,Rucking Rate Attack (secs),Defensive Rucks,% Ruck Success Own,Own Rucks Won per Match,% Ruck Success Opp,Opp Rucks Won per Match,Turnovers Won,Turnovers Conceded,Turnover Differential,Own Contestable Restarts,Own Contestable Restarts Regained,Contestable_Restart_Win_Pct,Opp Contestable Restarts,Opp Contestable Restarts Received,Total Scrums Own Feed,Scrum Success Own Feed,Scrum_Win_Pct,Total Lineouts Own Throw,Lineout Success Own Throw,Lineout_Win_Pct,Penalty/FK Conceded,Ruck-Maul Penalties Conceded,Yellow_Red Cards,Result
USA,France,29,2018_Hong_Kong,48,24.0,0.5,24.0,4.0,4.0,52.0,55.0,2.0,3.0,4.0,51.8,6.0,34.6,1.0,0.6666666666666666,207,220,31,6.7,5,41.5,6,1.0,5,0.3333333333333333,2.0,4.0,5.0,-1.0,3.0,1.0,33.33333333333333,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2
USA,France,30,2018_London_7s,52,38.0,0.6666666666666666,14.0,6.0,2.0,54.0,49.0,2.0,1.0,7.0,46.5,2.0,162.7,0.8571428571428571,1.0,325,98,61,5.3,15,21.7,4,0.9333333333333332,14,0.25,1.0,1.0,1.0,0.0,6.0,4.0,66.66666666666666,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1
France,USA,30,2018_London_7s,52,14.0,1.0,38.0,2.0,6.0,49.0,54.0,1.0,2.0,2.0,48.8,7.0,13.9,1.0,0.8571428571428571,98,325,7,13.9,4,24.4,15,0.75,3,0.06666666666666668,1.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0
USA,France,31,2018_Paris_7s,38,26.0,0.75,12.0,4.0,2.0,67.0,69.0,3.0,1.0,6.0,44.5,2.0,267.0,0.6666666666666666,1.0,267,138,48,5.6,14,19.1,4,0.9285714285714286,13,0.25,1.0,4.0,6.0,-2.0,3.0,2.0,66.66666666666666,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
France,USA,31,2018_Paris_7s,38,12.0,0.5,26.0,2.0,4.0,69.0,67.0,1.0,3.0,2.0,138.1,6.0,23.0,1.0,0.6666666666666666,138,267,26,5.3,4,34.5,14,0.75,3,0.07142857142857142,1.0,6.0,4.0,2.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,0
USA,France,32,2018_Singapore_7s,45,33.0,0.8,12.0,5.0,2.0,37.0,108.0,2.0,0.0,5.0,37.1,3.0,61.9,1.0,0.6666666666666666,186,216,33,5.6,7,26.5,11,1.0,7,0.18181818181818185,2.0,5.0,4.0,1.0,2.0,1.0,50.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,1
France,USA,32,2018_Singapore_7s,45,12.0,0.5,33.0,2.0,5.0,108.0,37.0,0.0,2.0,3.0,72.1,5.0,43.3,0.6666666666666666,1.0,216,186,47,4.6,11,19.7,7,0.8181818181818182,9,0.0,0.0,4.0,5.0,-1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0
Ireland,USA,33,2018_London_7s,34,22.0,0.25,12.0,4.0,2.0,53.0,106.0,3.0,1.0,6.0,35.3,3.0,70.7,0.6666666666666666,0.6666666666666666,212,211,26,8.2,12,17.7,10,0.8333333333333334,10,0.2,2.0,2.0,3.0,-1.0,5.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,1
USA,Ireland,33,2018_London_7s,34,12.0,0.5,22.0,2.0,4.0,106.0,53.0,1.0,3.0,3.0,70.4,6.0,35.2,0.6666666666666666,0.6666666666666666,211,212,46,4.6,10,21.1,12,0.8,8,0.16666666666666666,2.0,3.0,2.0,1.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0
USA,Kenya,34,2018_Hamilton_7s,38,19.0,0.6666666666666666,19.0,3.0,3.0,65.0,66.0,2.0,2.0,6.0,32.5,4.0,48.7,0.5,0.75,195,197,24,8.1,12,16.2,6,0.75,9,0.16666666666666666,1.0,1.0,5.0,-4.0,3.0,3.0,100.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2
Kenya,USA,34,2018_Hamilton_7s,38,19.0,0.6666666666666666,19.0,3.0,3.0,66.0,65.0,2.0,2.0,4.0,49.1,6.0,32.8,0.75,0.5,197,195,20,9.8,6,32.8,12,0.8333333333333334,5,0.25,3.0,5.0,1.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2
Kenya,USA,35,2018_London_7s,38,19.0,0.6666666666666666,19.0,3.0,3.0,66.0,46.0,1.0,2.0,5.0,39.6,4.0,49.5,0.6,0.75,198,137,26,7.6,17,11.6,2,0.9411764705882352,16,0.5,1.0,8.0,3.0,5.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,2
USA,Kenya,35,2018_London_7s,38,19.0,0.6666666666666666,19.0,3.0,3.0,46.0,66.0,2.0,1.0,4.0,34.2,5.0,27.4,0.75,0.6,137,198,19,7.2,2,68.4,17,0.5,1,0.05882352941176471,1.0,3.0,8.0,-5.0,4.0,2.0,50.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,4.0,3.0,0.0,2
USA,Kenya,36,2018_Singapore_7s,47,14.0,1.0,33.0,2.0,5.0,70.0,46.0,0.0,3.0,3.0,46.7,5.0,28.0,0.6666666666666666,1.0,140,231,20,7.0,7,20.0,8,1.0,7,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0
Kenya,USA,36,2018_Singapore_7s,47,33.0,0.8,14.0,5.0,2.0,46.0,70.0,3.0,0.0,5.0,46.2,3.0,77.1,1.0,0.6666666666666666,231,140,29,8.0,8,28.9,7,1.0,8,0.0,0.0,2.0,1.0,1.0,5.0,1.0,20.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1
Kenya,USA,37,2018_Vancouver_7s,43,24.0,0.5,19.0,4.0,3.0,46.0,94.0,2.0,1.0,5.0,36.5,4.0,45.6,0.8,0.75,182,281,27,6.8,8,22.8,11,0.75,6,0.09090909090909093,1.0,6.0,4.0,2.0,3.0,1.0,33.33333333333333,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1
USA,Kenya,37,2018_Vancouver_7s,43,19.0,0.6666666666666666,24.0,3.0,4.0,94.0,46.0,1.0,2.0,4.0,70.4,5.0,56.3,0.75,0.8,281,182,60,4.7,11,25.6,8,0.9090909090909092,10,0.25,2.0,4.0,6.0,-2.0,4.0,2.0,50.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0
USA,New Zealand,38,2017-18_Cape_Town,22,22.0,0.25,0.0,4.0,0.0,71.0,0.0,1.0,0.0,7.0,40.3,1.0,282.2,0.5714285714285714,0,282,157,47,6.0,18,15.7,7,0.9444444444444444,17,0.14285714285714285,1.0,6.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1
New Zealand,USA,38,2017-18_Cape_Town,22,0.0,0.0,22.0,0.0,4.0,0.0,71.0,0.0,1.0,1.0,156.6,7.0,22.4,0,0.5714285714285714,157,282,35,4.5,7,22.4,18,0.8571428571428571,6,0.05555555555555555,1.0,1.0,6.0,-5.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0
New Zealand,USA,39,2017-18_Dubai_7s,34,22.0,0.25,12.0,4.0,2.0,49.0,104.0,3.0,1.0,4.0,48.9,3.0,65.1,1.0,0.6666666666666666,195,207,33,5.9,7,27.9,11,0.8571428571428571,6,0.09090909090909093,1.0,6.0,3.0,3.0,3.0,1.0,33.33333333333333,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1
USA,New Zealand,39,2017-18_Dubai_7s,34,12.0,0.5,22.0,2.0,4.0,104.0,49.0,1.0,3.0,3.0,69.2,4.0,51.9,0.6666666666666666,1.0,207,195,37,5.6,11,18.9,7,0.9090909090909092,10,0.14285714285714285,1.0,3.0,6.0,-3.0,3.0,2.0,66.66666666666666,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
New Zealand,USA,40,2018_Hong_Kong,42,35.0,1.0,7.0,5.0,1.0,42.0,190.0,2.0,1.0,6.0,34.6,4.0,52.0,0.8333333333333334,0.25,208,190,31,6.7,7,29.7,11,1.0,7,0.18181818181818185,2.0,7.0,3.0,4.0,5.0,1.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1
USA,New Zealand,40,2018_Hong_Kong,42,7.0,1.0,35.0,1.0,5.0,190.0,42.0,1.0,2.0,4.0,47.6,6.0,31.7,0.25,0.8333333333333334,190,208,32,5.9,11,17.3,7,0.8181818181818182,9,0.0,0.0,3.0,7.0,-4.0,2.0,0.0,0.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0
New Zealand,USA,41,2018_London_7s,31,26.0,0.75,5.0,4.0,1.0,42.0,239.0,2.0,0.0,4.0,42.5,3.0,56.6,1.0,0.3333333333333333,170,239,24,7.1,7,24.3,12,0.7142857142857143,5,0.08333333333333333,1.0,9.0,5.0,4.0,3.0,1.0,33.33333333333333,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,1
USA,New Zealand,41,2018_London_7s,31,5.0,0.0,26.0,1.0,4.0,239.0,42.0,0.0,2.0,3.0,79.7,4.0,59.8,0.3333333333333333,1.0,239,170,48,5.0,12,19.9,7,0.9166666666666666,11,0.2857142857142857,2.0,5.0,9.0,-4.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0
USA,New Zealand,42,2018_Paris_7s,40,7.0,1.0,33.0,1.0,5.0,312.0,33.0,1.0,4.0,1.0,312.2,5.0,62.4,1.0,1.0,312,167,69,4.5,18,17.3,5,0.8888888888888888,16,0.2,1.0,3.0,5.0,-2.0,2.0,2.0,100.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0,0.75,0.0,0.0,0.0,0
New Zealand,USA,42,2018_Paris_7s,40,33.0,0.8,7.0,5.0,1.0,33.0,312.0,4.0,1.0,5.0,33.3,1.0,166.5,1.0,1.0,167,312,23,7.2,5,33.3,18,0.8,4,0.1111111111111111,2.0,5.0,3.0,2.0,4.0,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1
New Zealand,USA,43,2018_Vancouver_7s,17,0.0,0.0,17.0,0.0,3.0,0.0,91.0,0.0,0.0,1.0,187.0,6.0,31.2,0,0.5,187,273,35,5.3,10,18.7,13,0.7,7,0.15384615384615385,2.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,0
USA,New Zealand,43,2018_Vancouver_7s,17,17.0,0.3333333333333333,0.0,3.0,0.0,91.0,0.0,0.0,0.0,6.0,45.4,1.0,272.5,0.5,0,273,187,45,6.1,13,21.0,10,0.8461538461538461,11,0.3,3.0,5.0,5.0,0.0,3.0,2.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1
PNG,USA,44,2018_Hamilton_7s,54,12.0,0.5,42.0,2.0,6.0,76.0,35.0,0.0,5.0,2.0,76.1,7.0,21.7,1.0,0.8571428571428571,152,211,22,6.9,5,30.4,3,0.6,3,0.3333333333333333,1.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0
USA,PNG,44,2018_Hamilton_7s,54,42.0,1.0,12.0,6.0,2.0,35.0,76.0,5.0,0.0,7.0,30.1,2.0,105.3,0.8571428571428571,1.0,211,152,27,7.8,3,70.2,5,0.6666666666666666,2,0.4,2.0,3.0,3.0,0.0,6.0,2.0,33.33333333333333,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,1
Samoa,USA,45,2017-18_Dubai_7s,40,26.0,0.75,14.0,4.0,2.0,57.0,75.0,1.0,0.0,6.0,37.9,5.0,45.5,0.6666666666666666,0.4,227,149,39,5.8,8,28.4,8,1.0,8,0.25,2.0,4.0,1.0,3.0,4.0,1.0,25.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1
USA,Samoa,45,2017-18_Dubai_7s,40,14.0,1.0,26.0,2.0,4.0,75.0,57.0,0.0,1.0,5.0,29.8,6.0,24.8,0.4,0.6666666666666666,149,227,16,9.3,8,18.6,8,0.75,6,0.0,0.0,1.0,4.0,-3.0,3.0,1.0,33.33333333333333,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0
USA,Samoa,46,2018_Hamilton_7s,24,10.0,0.0,14.0,2.0,2.0,109.0,92.0,2.0,1.0,8.0,27.3,2.0,109.2,0.25,1.0,218,184,35,6.2,14,15.6,8,0.5714285714285714,8,0.25,2.0,7.0,7.0,0.0,3.0,1.0,33.33333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0
Samoa,USA,46,2018_Hamilton_7s,24,14.0,1.0,10.0,2.0,2.0,92.0,109.0,1.0,2.0,2.0,92.1,8.0,23.0,1.0,0.25,184,218,16,11.5,8,23.0,14,0.75,6,0.42857142857142855,6.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,5.0,3.0,0.6,3.0,3.0,0.0,1
Samoa,USA,47,2018_Las_Vegas,38,12.0,0.5,26.0,2.0,4.0,46.0,66.0,2.0,1.0,3.0,30.7,5.0,18.4,0.6666666666666666,0.8,92,263,7,13.1,4,23.0,12,1.0,4,0.08333333333333333,1.0,2.0,4.0,-2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,0
USA,Samoa,47,2018_Las_Vegas,38,26.0,0.75,12.0,4.0,2.0,66.0,46.0,1.0,2.0,5.0,52.7,3.0,87.8,0.8,0.6666666666666666,263,92,42,6.3,12,21.9,4,0.9166666666666666,11,0.0,0.0,4.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,0.75,4.0,1.0,0.0,1
Scotland,USA,48,2017-18_Sydney_7s,38,12.0,0.5,26.0,2.0,4.0,88.0,56.0,1.0,2.0,3.0,58.7,5.0,35.2,0.6666666666666666,0.8,176,225,30,5.9,6,29.3,8,1.0,6,0.125,1.0,1.0,1.0,0.0,3.0,1.0,33.33333333333333,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0
USA,Scotland,48,2017-18_Sydney_7s,38,26.0,0.75,12.0,4.0,2.0,56.0,88.0,2.0,1.0,5.0,45.0,3.0,75.1,0.8,0.6666666666666666,225,176,34,6.6,8,28.1,6,0.875,7,0.0,0.0,1.0,1.0,0.0,4.0,3.0,75.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1
Scotland,USA,49,2018_Hong_Kong,34,15.0,0.0,19.0,3.0,3.0,57.0,85.0,3.0,0.0,6.0,28.6,6.0,28.6,0.5,0.5,172,255,27,6.4,9,19.1,16,0.8888888888888888,8,0.0625,1.0,3.0,4.0,-1.0,1.0,1.0,100.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,0.0,0
USA,Scotland,49,2018_Hong_Kong,34,19.0,0.6666666666666666,15.0,3.0,3.0,85.0,57.0,0.0,3.0,6.0,42.4,6.0,42.4,0.5,0.5,255,172,48,5.3,16,15.9,9,0.9375,15,0.1111111111111111,1.0,4.0,3.0,1.0,3.0,1.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,1
Scotland,USA,50,2018_Singapore_7s,45,12.0,0.5,33.0,2.0,5.0,104.0,57.0,0.0,1.0,2.0,104.3,6.0,34.8,1.0,0.8333333333333334,209,284,30,7.0,9,23.2,15,0.8888888888888888,8,0.13333333333333333,2.0,4.0,7.0,-3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
USA,Scotland,50,2018_Singapore_7s,45,33.0,0.8,12.0,5.0,2.0,57.0,104.0,1.0,0.0,6.0,47.3,2.0,141.8,0.8333333333333334,1.0,284,209,39,7.3,15,18.9,9,0.8666666666666667,13,0.1111111111111111,1.0,7.0,4.0,3.0,3.0,1.0,33.33333333333333,1.0,1.0,3.0,2.0,0.6666666666666666,1.0,1.0,1.0,5.0,3.0,1.0,1
South Africa,USA,51,2017-18_Sydney_7s,42,35.0,1.0,7.0,5.0,1.0,48.0,168.0,3.0,1.0,6.0,39.7,4.0,59.6,0.8333333333333334,0.25,238,168,26,9.2,7,34.1,11,0.7142857142857143,5,0.2727272727272727,3.0,6.0,3.0,3.0,5.0,3.0,60.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,1
USA,South Africa,51,2017-18_Sydney_7s,42,7.0,1.0,35.0,1.0,5.0,168.0,48.0,1.0,3.0,4.0,41.9,6.0,27.9,0.25,0.8333333333333334,168,238,28,6.0,11,15.2,7,0.7272727272727273,8,0.2857142857142857,2.0,3.0,6.0,-3.0,1.0,1.0,100.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0
South Africa,USA,52,2018_Vancouver_7s,36,29.0,0.4,7.0,5.0,1.0,45.0,208.0,1.0,1.0,6.0,37.2,3.0,74.4,0.8333333333333334,0.3333333333333333,223,208,33,6.8,10,22.3,15,1.0,10,0.13333333333333333,2.0,4.0,6.0,-2.0,5.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1
USA,South Africa,52,2018_Vancouver_7s,36,7.0,1.0,29.0,1.0,5.0,208.0,45.0,1.0,1.0,3.0,69.3,6.0,34.6,0.3333333333333333,0.8333333333333334,208,223,40,5.2,15,13.9,10,0.8666666666666667,13,0.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0
Spain,USA,53,2017-18_Cape_Town,31,5.0,0.0,26.0,1.0,4.0,164.0,53.0,1.0,2.0,4.0,41.0,6.0,27.3,0.25,0.6666666666666666,164,210,23,7.1,8,20.5,4,0.75,6,0.0,0.0,6.0,6.0,0.0,2.0,1.0,50.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0
USA,Spain,53,2017-18_Cape_Town,31,26.0,0.75,5.0,4.0,1.0,53.0,164.0,2.0,1.0,6.0,35.0,4.0,52.5,0.6666666666666666,0.25,210,164,29,7.2,4,52.5,8,1.0,4,0.25,2.0,6.0,6.0,0.0,4.0,2.0,50.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,4.0,0.0,1
USA,Spain,54,2018_Hamilton_7s,41,29.0,0.4,12.0,5.0,2.0,48.0,87.0,3.0,2.0,6.0,39.6,4.0,59.4,0.8333333333333334,0.5,238,173,31,7.7,9,26.4,8,0.7777777777777778,7,0.375,3.0,5.0,6.0,-1.0,4.0,2.0,50.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1
Spain,USA,54,2018_Hamilton_7s,41,12.0,0.5,29.0,2.0,5.0,87.0,48.0,2.0,3.0,4.0,43.3,6.0,28.9,0.5,0.8333333333333334,173,238,20,8.7,8,21.7,9,0.625,5,0.2222222222222222,2.0,6.0,5.0,1.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0
Spain,USA,55,2018_Las_Vegas,45,17.0,0.3333333333333333,28.0,3.0,4.0,65.0,55.0,1.0,1.0,6.0,32.6,5.0,39.1,0.5,0.8,195,222,22,8.9,13,15.0,8,0.8461538461538461,11,0.0,0.0,3.0,4.0,-1.0,3.0,1.0,33.33333333333333,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0
USA,Spain,55,2018_Las_Vegas,45,28.0,1.0,17.0,4.0,3.0,55.0,65.0,1.0,1.0,5.0,44.4,6.0,37.0,0.8,0.5,222,195,35,6.3,8,27.7,13,1.0,8,0.15384615384615385,2.0,4.0,3.0,1.0,4.0,1.0,25.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,2.0,0.0,1
Spain,USA,56,2018_Paris_7s,35,7.0,1.0,28.0,1.0,4.0,225.0,49.0,0.0,2.0,5.0,45.0,4.0,56.3,0.2,1.0,225,195,46,4.9,10,22.5,9,0.7,7,0.2222222222222222,2.0,4.0,7.0,-3.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0
USA,Spain,56,2018_Paris_7s,35,28.0,1.0,7.0,4.0,1.0,49.0,225.0,2.0,0.0,4.0,48.8,5.0,39.0,1.0,0.2,195,225,28,7.0,9,21.7,10,0.7777777777777778,7,0.3,3.0,7.0,4.0,3.0,3.0,1.0,33.33333333333333,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1
Uruguay,USA,57,2018_Vancouver_7s,45,0.0,0.0,45.0,0.0,7.0,0.0,34.0,0.0,4.0,0.0,0.0,8.0,24.6,0%,0.875,197,238,23,8.6,13,15.2,8,0.8461538461538461,11,0.25,2.0,4.0,7.0,-3.0,1.0,0.0,0.0,8.0,4.0,2.0,2.0,1.0,2.0,1.0,0.5,3.0,1.0,1.0,0
USA,Uruguay,57,2018_Vancouver_7s,45,45.0,0.7142857142857143,0.0,7.0,0.0,34.0,0.0,4.0,0.0,8.0,29.8,0.0,0.0,0.875,0%,238,197,27,8.8,8,29.8,13,0.75,6,0.15384615384615385,2.0,7.0,4.0,3.0,8.0,4.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,0.0,1
Wales,USA,58,2017-18_Dubai_7s,34,29.0,0.4,5.0,5.0,1.0,45.0,77.0,5.0,2.0,7.0,31.9,4.0,55.8,0.7142857142857143,0.25,223,231,47,4.7,6,37.2,10,0.6666666666666666,4,0.0,0.0,3.0,2.0,1.0,5.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1
USA,Wales,58,2017-18_Dubai_7s,52,21.0,1.0,31.0,3.0,5.0,77.0,45.0,2.0,5.0,4.0,57.6,7.0,32.9,0.75,0.7142857142857143,231,223,42,5.5,10,23.1,6,1.0,10,0.3333333333333333,2.0,2.0,3.0,-1.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0
USA,Wales,59,2018_Hong_Kong,52,47.0,0.8571428571428571,5.0,7.0,1.0,44.0,159.0,4.0,1.0,7.0,44.2,7.0,44.2,1.0,0.14285714285714285,310,159,35,8.8,10,31.0,14,0.9,9,0.21428571428571427,3.0,6.0,2.0,4.0,6.0,3.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1
Wales,USA,59,2018_Hong_Kong,52,5.0,0.0,47.0,1.0,7.0,159.0,44.0,1.0,4.0,7.0,22.7,7.0,22.7,0.14285714285714285,1.0,159,310,20,8.0,14,11.4,10,0.7857142857142857,11,0.1,1.0,2.0,6.0,-4.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0
