Team,MatchID,Tournament,Scores,Tries,Conversions,Possession Time,Passes,Ruck_Maul,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct,Contestable_Restart_Win_Pct,Pens_Frees Against,TurnoversConceded,Yellow_Red Cards
SAMOA,Match_3_Samoa_vs_USA,2016_London,5,1,0.0,218,32,4,0.75,1.0,1.0,,4,6,
USA,Match_3_Samoa_vs_USA,2016_London,12,2,0.5,147,26,2,0.6,1.0,1.0,,3,8,
USA,Match_40_USA_vs_Scotland,2016_London,17,3,0.3333333333333333,165,29,2,0.8,,1.0,0.6666666666666666,2,2,
SCOTLAND,Match_40_USA_vs_Scotland,2016_London,24,4,0.5,232,45,,1.0,,1.0,0.3333333333333333,,4,
FIJI,Match_44_Fiji_vs_USA,2016_London,19,3,0.6666666666666666,130,22,,0.6666666666666666,,0.5,,2,,
USA,Match_44_Fiji_vs_USA,2016_London,26,4,0.75,163,24,1,0.75,1.0,1.0,0.75,1,6,
FRANCE,Match_14_France_vs_USA,2016_Paris,24,4,0.5,193,33,2,0.875,,0.6666666666666666,0.5,4,3,
USA,Match_14_France_vs_USA,2016_Paris,12,2,0.5,227,44,1,0.8888888888888888,,1.0,0.3333333333333333,1,6,
USA,Match_21_USA_vs_Canada,2016_Paris,33,5,0.8,263,48,1,1.0,,1.0,0.42857142857142855,2,4,
CANADA,Match_21_USA_vs_Canada,2016_Paris,12,2,0.5,197,24,1,0.9090909090909091,,0.5,,1,1,
USA,Match_27_USA_vs_Portugal,2016_Paris,19,3,0.6666666666666666,181,24,2,0.75,0.6666666666666666,1.0,0.3333333333333333,5,6,1
PORTUGAL,Match_27_USA_vs_Portugal,2016_Paris,17,3,0.3333333333333333,195,18,3,0.8,,0.3333333333333333,0.5,4,3,
USA,Match_36_USA_vs_Scotland,2016_Paris,12,2,0.5,290,54,4,0.875,,1.0,,5,6,
SCOTLAND,Match_36_USA_vs_Scotland,2016_Paris,14,2,1.0,176,27,4,0.6666666666666666,,1.0,,6,1,
ARGENTINA,Match_5_Argentina_vs_USA,2016_Paris,36,6,0.5,183,22,3,1.0,,1.0,0.2,6,2,
USA,Match_5_Argentina_vs_USA,2016_Paris,,,,224,45,2,0.75,1.0,1.0,,3,8,
USA,Match_12_USA_vs_France,2016_Singapore,17,3,0.3333333333333333,171,26,1,0.8,1.0,1.0,0.25,1,1,
FRANCE,Match_12_USA_vs_France,2016_Singapore,19,3,0.6666666666666666,165,17,1,1.0,1.0,,0.5,2,3,
NEW ZEALAND,Match_20_New_Zealand_vs_USA,2016_Singapore,19,3,0.6666666666666666,164,12,,0.6,1.0,1.0,0.5,2,4,
USA,Match_20_New_Zealand_vs_USA,2016_Singapore,12,2,0.5,221,44,3,0.8,,1.0,0.3333333333333333,3,3,
USA,Match_28_USA_vs_Russia,2016_Singapore,24,4,0.5,304,82,2,0.8571428571428571,1.0,1.0,0.6666666666666666,3,,
RUSSIA,Match_28_USA_vs_Russia,2016_Singapore,5,1,0.0,86,15,1,0.8,0.5,,,2,1,
PORTUGAL,Match_36_Portugal_vs_USA,2016_Singapore,,,,133,21,3,0.75,0.5,1.0,,3,3,
USA,Match_36_Portugal_vs_USA,2016_Singapore,26,4,0.75,263,43,2,0.8181818181818182,1.0,1.0,0.5,2,6,
SCOTLAND,Match_42_Scotland_vs_USA,2016_Singapore,14,2,1.0,150,31,3,0.6666666666666666,,1.0,,4,6,
USA,Match_42_Scotland_vs_USA,2016_Singapore,10,2,0.0,297,57,2,1.0,1.0,1.0,0.5,2,7,
USA,Match_4_USA_vs_Canada,2016_Singapore,36,6,0.5,188,26,1,0.75,1.0,1.0,0.6666666666666666,2,4,
CANADA,Match_4_USA_vs_Canada,2016_Singapore,14,2,1.0,175,27,1,0.6666666666666666,,1.0,0.3333333333333333,1,4,
USA,Match_14_USA_vs_Japan,2016_Sydney,33,5,0.8,235,33,4,0.5555555555555556,1.0,1.0,0.3333333333333333,4,2,
JAPAN,Match_14_USA_vs_Japan,2016_Sydney,17,3,0.3333333333333333,170,28,,0.8333333333333334,1.0,,,,5,
ENGLAND,Match_22_England_vs_USA,2016_Sydney,17,3,0.3333333333333333,149,22,,1.0,1.0,1.0,,,1,
USA,Match_22_England_vs_USA,2016_Sydney,14,2,1.0,263,50,2,0.7142857142857143,1.0,,,2,3,
NEW ZEALAND,Match_29_New_Zealand_vs_USA,2016_Sydney,24,4,0.5,175,22,5,0.8888888888888888,1.0,1.0,,6,2,1
USA,Match_29_New_Zealand_vs_USA,2016_Sydney,7,1,1.0,281,56,1,0.8666666666666667,1.0,,,2,7,1
USA,Match_37_USA_vs_Kenya,2016_Sydney,21,3,1.0,199,35,1,0.8571428571428571,,,0.5,4,6,
KENYA,Match_37_USA_vs_Kenya,2016_Sydney,24,4,0.5,209,29,4,0.5714285714285714,1.0,1.0,0.75,4,1,
USA,Match_6_USA_vs_Wales,2016_Sydney,42,6,1.0,228,29,3,0.8333333333333334,1.0,,,4,2,
WALES,Match_6_USA_vs_Wales,2016_Sydney,,,,207,32,3,0.6153846153846154,,1.0,,4,6,
USA,Match_13_USA_vs_England,2016_Vancouver,17,3,0.3333333333333333,294,54,2,0.9166666666666666,,1.0,0.75,3,4,
ENGLAND,Match_13_USA_vs_England,2016_Vancouver,12,2,0.5,145,21,5,0.5714285714285714,1.0,0.75,,5,2,
USA,Match_22_USA_vs_New_Zealand,2016_Vancouver,5,1,0.0,414,71,1,0.7391304347826086,1.0,1.0,,1,3,
NEW ZEALAND,Match_22_USA_vs_New_Zealand,2016_Vancouver,17,3,0.3333333333333333,120,18,4,,1.0,1.0,,5,4,
FIJI,Match_29_Fiji_vs_USA,2016_Vancouver,31,5,0.6,180,39,2,0.5,1.0,,,4,4,1
USA,Match_29_Fiji_vs_USA,2016_Vancouver,26,4,0.75,296,54,3,0.7142857142857143,,1.0,0.4,5,6,
USA,Match_37_USA_vs_Wales,2016_Vancouver,38,6,0.6666666666666666,237,33,1,0.8333333333333334,1.0,1.0,0.5,3,3,
WALES,Match_37_USA_vs_Wales,2016_Vancouver,12,2,0.5,166,19,1,0.625,1.0,1.0,,1,1,
USA,Match_43_USA_vs_Samoa,2016_Vancouver,19,3,0.6666666666666666,220,41,,0.7777777777777778,,1.0,,,4,
SAMOA,Match_43_USA_vs_Samoa,2016_Vancouver,31,5,0.6,191,35,1,0.3333333333333333,1.0,1.0,0.5,2,2,
USA,Match_5_USA_vs_France,2016_Vancouver,42,6,1.0,269,46,2,0.8666666666666667,,1.0,0.6,4,4,
FRANCE,Match_5_USA_vs_France,2016_Vancouver,14,2,1.0,146,25,1,0.7142857142857143,1.0,1.0,0.3333333333333333,1,6,
USA,Match_10_USA_vs_England,2016_Wellington,5,1,0.0,218,46,2,1.0,1.0,,,2,6,
ENGLAND,Match_10_USA_vs_England,2016_Wellington,19,3,0.6666666666666666,279,52,4,0.75,1.0,1.0,0.6666666666666666,4,3,
FRANCE,Match_18_France_vs_USA,2016_Wellington,21,3,1.0,202,29,3,0.8333333333333334,1.0,1.0,1.0,3,3,1
USA,Match_18_France_vs_USA,2016_Wellington,29,5,0.4,215,37,2,1.0,1.0,,,2,2,
USA,Match_2_USA_vs_Samoa,2016_Wellington,24,4,0.5,240,42,2,0.8461538461538461,1.0,1.0,,5,5,
SAMOA,Match_2_USA_vs_Samoa,2016_Wellington,20,3,0.8333333333333334,151,27,2,0.8,,1.0,0.2,3,6,
FIJI,Match_32_Fiji_vs_USA,2016_Wellington,21,3,1.0,215,37,4,0.8,,1.0,0.5,5,5,
USA,Match_32_Fiji_vs_USA,2016_Wellington,12,2,0.5,291,51,,0.8666666666666667,1.0,1.0,,,5,
AUSTRALIA,Match_38_Australia_vs_USA,2016_Wellington,17,3,0.3333333333333333,175,27,6,0.9166666666666666,0.75,,,6,,
USA,Match_38_Australia_vs_USA,2016_Wellington,5,1,0.0,227,43,6,0.7,1.0,,,7,1,
USA,Match_12_USA_vs_Scotland,2017_Hong_Kong,19,3,0.6666666666666666,137,21,3,1.0,1.0,1.0,0.3333333333333333,3,8,
SCOTLAND,Match_12_USA_vs_Scotland,2017_Hong_Kong,14,2,1.0,274,50,2,0.8571428571428571,,1.0,0.3333333333333333,4,4,
USA,Match_20_USA_vs_Argentina,2017_Hong_Kong,33,5,0.8,172,29,3,1.0,1.0,1.0,0.25,4,4,
ARGENTINA,Match_20_USA_vs_Argentina,2017_Hong_Kong,5,1,0.0,191,31,1,0.9375,1.0,1.0,,2,3,
USA,Match_31_USA_vs_England,2017_Hong_Kong,27,5,0.2,248,42,3,1.0,1.0,1.0,,3,3,
ENGLAND,Match_31_USA_vs_England,2017_Hong_Kong,7,1,1.0,266,36,1,0.9090909090909091,1.0,1.0,,2,5,
USA,Match_40_USA_vs_South_Africa,2017_Hong_Kong,24,4,0.5,205,53,2,1.0,,1.0,0.3333333333333333,4,4,
SOUTH AFRICA,Match_40_USA_vs_South_Africa,2017_Hong_Kong,29,5,0.4,220,44,,0.9166666666666666,,1.0,2.0,1,3,
AUSTRALIA,Match_44_Australia_vs_USA,2017_Hong_Kong,26,4,0.75,229,33,2,0.7272727272727273,1.0,,0.5,4,,
USA,Match_44_Australia_vs_USA,2017_Hong_Kong,19,3,0.6666666666666666,219,28,1,1.0,,,0.25,1,3,
USA,Match_4_USA_vs_Russia,2017_Hong_Kong,14,2,1.0,132,26,6,1.0,1.0,,0.5,6,5,
RUSSIA,Match_4_USA_vs_Russia,2017_Hong_Kong,7,1,1.0,308,52,2,0.9230769230769231,1.0,1.0,,2,1,
USA,Match_13_USA_vs_Chile,2017_Las_Vegas,31,5,0.6,219,26,2,0.8,,1.0,0.75,2,4,
CHILE,Match_13_USA_vs_Chile,2017_Las_Vegas,,,,209,25,2,0.8,1.0,0.5,,2,3,
ENGLAND,Match_22_England_vs_USA,2017_Las_Vegas,24,4,0.5,182,27,3,0.8333333333333334,,1.0,0.3333333333333333,4,1,
USA,Match_22_England_vs_USA,2017_Las_Vegas,17,3,0.3333333333333333,223,34,2,0.8888888888888888,1.0,,,3,3,
ARGENTINA,Match_30_Argentina_vs_USA,2017_Las_Vegas,19,3,0.6666666666666666,241,36,2,0.8181818181818182,0.5,,,2,,
USA,Match_30_Argentina_vs_USA,2017_Las_Vegas,21,3,1.0,153,19,3,0.5,1.0,,0.25,5,4,
SOUTH AFRICA,Match_39_South_Africa_vs_USA,2017_Las_Vegas,20,4,0.0,197,22,1,1.0,,,2.0,2,1,1
USA,Match_39_South_Africa_vs_USA,2017_Las_Vegas,17,3,0.3333333333333333,162,22,2,0.7142857142857143,,1.0,0.6666666666666666,2,1,
USA,Match_44_USA_vs_New_Zealand,2017_Las_Vegas,19,3,0.6666666666666666,224,31,2,0.875,1.0,1.0,,3,3,
NEW ZEALAND,Match_44_USA_vs_New_Zealand,2017_Las_Vegas,15,3,0.0,179,33,3,1.0,,1.0,,4,4,1
USA,Match_5_USA_vs_Samoa,2017_Las_Vegas,26,4,0.75,217,44,2,1.0,0.6666666666666666,1.0,0.5,2,2,
SAMOA,Match_5_USA_vs_Samoa,2017_Las_Vegas,5,1,0.0,142,21,2,0.9,,,0.5,3,4,
USA,Match_13_USA_vs_Kenya,2017_London,47,7,0.8571428571428571,251,38,1,0.6666666666666666,1.0,1.0,0.42857142857142855,1,2,
KENYA,Match_13_USA_vs_Kenya,2017_London,,,,147,22,3,0.625,,1.0,,3,2,
SOUTH AFRICA,Match_22_South_Africa_vs_USA,2017_London,12,2,0.5,199,34,2,0.875,,,,2,2,
USA,Match_22_South_Africa_vs_USA,2017_London,24,4,0.5,226,36,1,0.9230769230769231,0.5,1.0,,1,,
USA,Match_29_USA_vs_Australia,2017_London,31,5,0.6,261,49,2,1.0,,1.0,0.5,2,3,
AUSTRALIA,Match_29_USA_vs_Australia,2017_London,14,2,1.0,146,23,,0.8571428571428571,,1.0,,1,3,
USA,Match_39_USA_vs_Scotland,2017_London,14,2,1.0,221,46,2,0.75,1.0,1.0,0.5,2,3,
SCOTLAND,Match_39_USA_vs_Scotland,2017_London,21,3,1.0,300,51,1,0.8571428571428571,1.0,1.0,,1,2,
USA,Match_44_USA_vs_Canada,2017_London,19,3,0.6666666666666666,224,46,1,0.8888888888888888,,1.0,0.5,1,2,
CANADA,Match_44_USA_vs_Canada,2017_London,22,4,0.25,179,21,4,1.0,1.0,1.0,0.25,5,3,
USA,Match_5_USA_vs_Wales,2017_London,12,2,0.5,157,27,1,1.0,,1.0,0.3333333333333333,1,5,
WALES,Match_5_USA_vs_Wales,2017_London,28,4,1.0,221,38,4,0.875,1.0,1.0,,5,1,
USA,Match_12_USA_vs_Wales,2017_Paris,38,6,0.6666666666666666,230,31,,1.0,1.0,,0.2,1,,
WALES,Match_12_USA_vs_Wales,2017_Paris,14,2,1.0,132,20,1,1.0,,,,2,1,
USA,Match_20_USA_vs_New_Zealand,2017_Paris,14,2,1.0,198,25,1,0.9,1.0,,,1,7,
NEW ZEALAND,Match_20_USA_vs_New_Zealand,2017_Paris,27,5,0.2,255,38,2,0.875,,1.0,,2,2,
ENGLAND,Match_30_England_vs_USA,2017_Paris,26,4,0.75,232,35,2,1.0,1.0,1.0,,2,2,
USA,Match_30_England_vs_USA,2017_Paris,12,2,0.5,153,35,3,1.0,1.0,1.0,,4,3,
FIJI,Match_37_Fiji_vs_USA,2017_Paris,14,2,1.0,163,17,4,0.5,0.6666666666666666,,0.6666666666666666,6,4,2
USA,Match_37_Fiji_vs_USA,2017_Paris,24,4,0.5,226,37,3,0.6666666666666666,1.0,1.0,0.75,3,3,
USA,Match_43_USA_vs_Samoa,2017_Paris,24,4,0.5,252,48,1,0.9,1.0,1.0,0.6,2,2,1
SAMOA,Match_43_USA_vs_Samoa,2017_Paris,19,3,0.6666666666666666,163,22,1,1.0,1.0,1.0,,1,5,
USA,Match_4_USA_vs_Argentina,2017_Paris,26,4,0.75,202,32,2,0.8571428571428571,,1.0,0.8,2,1,
ARGENTINA,Match_4_USA_vs_Argentina,2017_Paris,19,3,0.6666666666666666,170,24,,1.0,1.0,,0.3333333333333333,,2,
USA,Match_16_USA_vs_Scotland,2017_Singapore,33,5,0.8,202,30,3,1.0,,1.0,0.3333333333333333,4,1,
SCOTLAND,Match_16_USA_vs_Scotland,2017_Singapore,26,4,0.75,229,39,,1.0,1.0,,0.3333333333333333,,2,
USA,Match_24_USA_vs_New_Zealand,2017_Singapore,14,2,1.0,210,37,,1.0,0.5,,,,6,
NEW ZEALAND,Match_24_USA_vs_New_Zealand,2017_Singapore,21,3,1.0,242,31,5,0.75,1.0,1.0,,5,1,
FIJI,Match_29_Fiji_vs_USA,2017_Singapore,19,3,0.6666666666666666,72,3,1,,1.0,1.0,0.3333333333333333,3,2,
USA,Match_29_Fiji_vs_USA,2017_Singapore,24,4,0.5,317,63,,0.875,1.0,1.0,0.75,,2,
USA,Match_39_USA_vs_Australia,2017_Singapore,40,6,0.8333333333333334,307,61,1,0.8333333333333334,,1.0,0.6666666666666666,1,2,
AUSTRALIA,Match_39_USA_vs_Australia,2017_Singapore,7,1,1.0,85,12,,1.0,,,,2,3,
USA,Match_45_USA_vs_Canada,2017_Singapore,19,3,0.6666666666666666,165,15,,1.0,,1.0,,,3,
CANADA,Match_45_USA_vs_Canada,2017_Singapore,26,4,0.75,251,33,3,0.875,,1.0,0.25,3,3,
USA,Match_8_USA_vs_Wales,2017_Singapore,35,5,1.0,151,21,2,1.0,,1.0,0.4,2,2,
WALES,Match_8_USA_vs_Wales,2017_Singapore,19,3,0.6666666666666666,232,50,,1.0,,1.0,0.25,,3,
CANADA,Match_10_Canada_vs_USA,2017_Sydney,19,3,0.6666666666666666,134,17,2,0.6666666666666666,,1.0,,2,,
USA,Match_10_Canada_vs_USA,2017_Sydney,31,5,0.6,282,62,,0.875,,1.0,1.0,1,5,
USA,Match_17_USA_vs_Russia,2017_Sydney,14,2,1.0,175,28,1,1.0,0.5,,0.5,2,7,1
RUSSIA,Match_17_USA_vs_Russia,2017_Sydney,17,3,0.3333333333333333,181,30,1,0.6666666666666666,1.0,1.0,0.5,1,2,
ARGENTINA,Match_1_Argentina_vs_USA,2017_Sydney,19,3,0.6666666666666666,191,24,,1.0,1.0,1.0,1.0,,5,
USA,Match_1_Argentina_vs_USA,2017_Sydney,22,4,0.25,135,21,1,1.0,,1.0,0.4,4,1,
USA,Match_31_USA_vs_South_Africa,2017_Sydney,10,2,0.0,235,35,,1.0,1.0,,,,5,
SOUTH AFRICA,Match_31_USA_vs_South_Africa,2017_Sydney,21,3,1.0,146,17,3,0.75,1.0,1.0,1.0,5,1,
USA,Match_38_USA_vs_Wales,2017_Sydney,19,3,0.6666666666666666,201,38,3,0.6666666666666666,,1.0,0.6666666666666666,4,4,
WALES,Match_38_USA_vs_Wales,2017_Sydney,10,2,0.0,195,30,1,0.5555555555555556,0.5,1.0,0.5,1,2,
FIJI,Match_43_Fiji_vs_USA,2017_Sydney,35,5,1.0,159,14,1,0.6,1.0,1.0,0.2,2,4,
USA,Match_43_Fiji_vs_USA,2017_Sydney,12,2,0.5,154,28,1,0.6666666666666666,,1.0,,1,4,
USA,Match_10_USA_vs_France,2017_Vancouver,31,5,0.6,230,38,2,0.8,1.0,1.0,0.25,3,1,
FRANCE,Match_10_USA_vs_France,2017_Vancouver,19,3,0.6666666666666666,161,29,1,0.6666666666666666,0.6666666666666666,,1.0,2,3,
USA,Match_18_USA_vs_Australia,2017_Vancouver,29,5,0.4,207,23,4,0.8,1.0,1.0,0.3333333333333333,4,3,
AUSTRALIA,Match_18_USA_vs_Australia,2017_Vancouver,5,1,0.0,269,43,3,0.8,,1.0,,3,2,
USA,Match_2_USA_vs_Japan,2017_Vancouver,52,8,0.75,379,72,1,1.0,1.0,1.0,0.8571428571428571,1,4,
JAPAN,Match_2_USA_vs_Japan,2017_Vancouver,,,,61,11,4,0.6666666666666666,,0.5,,5,2,
USA,Match_30_USA_vs_Argentina,2017_Vancouver,14,2,1.0,196,29,3,1.0,1.0,1.0,,4,6,1
ARGENTINA,Match_30_USA_vs_Argentina,2017_Vancouver,12,2,0.5,183,27,3,0.7142857142857143,,,,3,2,
SOUTH AFRICA,Match_39_South_Africa_vs_USA,2017_Vancouver,14,2,1.0,109,13,3,0.6666666666666666,,1.0,,6,2,
USA,Match_39_South_Africa_vs_USA,2017_Vancouver,10,2,0.0,291,58,,1.0,1.0,1.0,0.6666666666666666,2,3,
USA,Match_44_USA_vs_Fiji,2017_Vancouver,24,4,0.5,156,28,2,1.0,1.0,,0.25,2,2,
FIJI,Match_44_USA_vs_Fiji,2017_Vancouver,28,4,1.0,219,37,,0.8571428571428571,,1.0,0.25,1,,
USA,Match_15_USA_vs_Samoa,2017_Wellington,24,4,0.5,174,31,2,0.5,1.0,1.0,,3,3,
SAMOA,Match_15_USA_vs_Samoa,2017_Wellington,12,2,0.5,145,19,2,0.8333333333333334,1.0,1.0,,3,4,
NEW ZEALAND,Match_24_New_Zealand_vs_USA,2017_Wellington,24,4,0.5,268,48,1,0.75,1.0,1.0,0.5,3,3,1
USA,Match_24_New_Zealand_vs_USA,2017_Wellington,12,2,0.5,184,29,1,0.6666666666666666,,,,2,6,
USA,Match_26_USA_vs_Japan,2017_Wellington,19,3,0.6666666666666666,236,37,4,0.625,1.0,,,6,5,1
JAPAN,Match_26_USA_vs_Japan,2017_Wellington,14,2,1.0,220,27,4,0.4444444444444444,0.6666666666666666,1.0,,5,2,
KENYA,Match_35_Kenya_vs_USA,2017_Wellington,19,3,0.6666666666666666,217,27,4,0.8333333333333334,,1.0,,5,1,1
USA,Match_35_Kenya_vs_USA,2017_Wellington,12,2,0.5,244,42,3,1.0,0.5,,,4,4,
USA,Match_7_USA_vs_France,2017_Wellington,21,3,1.0,209,31,1,1.0,1.0,,0.5,1,9,
FRANCE,Match_7_USA_vs_France,2017_Wellington,21,3,1.0,180,24,1,0.8888888888888888,1.0,1.0,0.3333333333333333,1,1,
