Opp,Date,Tournament,Match,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
SOUTH AFRICA,2016-12-12,2016_Cape_Town,Match_16_South_Africa_vs_USA,40.90909090909091,-47.36842105263159,-33.333333333333336,-1.0,64.0,-0.6666666666666666,0.0,0.0,,0.2857142857142857,0.0
RUSSIA,2016-12-12,2016_Cape_Town,Match_23_USA_vs_Russia,8.136482939632543,20.930232558139537,14.285714285714292,0.4166666666666667,11.538461538461533,0.4,50.0,33.333333333333336,,0.0,0.0
SCOTLAND,2016-12-12,2016_Cape_Town,Match_31_Scotland_vs_USA,21.975308641975303,-11.627906976744185,-14.285714285714292,0.16666666666666663,16.393442622950815,-0.4666666666666666,33.333333333333336,20.0,,0.0,-1.0
FIJI,2016-12-12,2016_Cape_Town,Match_38_USA_vs_Fiji,-12.0,-40.0,-33.333333333333336,-0.5,-28.301886792452827,-0.4,33.333333333333336,0.0,,-0.19999999999999996,0.0
AUSTRALIA,2016-12-12,2016_Cape_Town,Match_7_Australia_vs_USA,-6.161137440758296,100.0,100.0,,-12.5,-0.5,-33.333333333333336,-50.0,-1.0,0.10000000000000009,0.0
UGANDA,2016-12-05,2016_Dubai,Match_11_USA_vs_Uganda,26.600985221674875,61.111111111111114,66.66666666666666,-0.6,39.68253968253968,,-60.0,-50.0,,0.15000000000000002,
SOUTH AFRICA,2016-12-05,2016_Dubai,Match_20_South_Africa_vs_USA,26.259946949602124,-5.555555555555557,0.0,-0.3333333333333333,51.72413793103448,0.0,-20.0,-33.333333333333336,0.0,0.16666666666666674,
RUSSIA,2016-12-05,2016_Dubai,Match_28_USA_vs_Russia,-4.6511627906976685,77.77777777777777,71.42857142857142,0.8333333333333334,-27.272727272727266,0.5714285714285714,25.0,33.333333333333336,-0.5,0.23076923076923073,0.0
KENYA,2016-12-05,2016_Dubai,Match_36_Kenya_vs_USA,-2.702702702702709,5.0,0.0,0.33333333333333337,2.564102564102569,0.0,0.0,0.0,0.0,-0.19999999999999996,
SCOTLAND,2016-12-05,2016_Dubai,Match_3_USA_vs_Scotland,-28.19383259911894,-47.36842105263159,-33.333333333333336,-1.0,-16.883116883116884,-0.5,-14.285714285714292,-20.0,0.0,0.18181818181818177,0.0
SAMOA,2016-12-05,2016_Dubai,Match_42_Samoa_vs_USA,29.08587257617728,33.333333333333336,33.333333333333336,0.0,33.333333333333336,0.09999999999999998,60.0,100.0,,-0.06666666666666665,
SCOTLAND,2017-04-10,2017_Hong_Kong,Match_12_USA_vs_Scotland,-33.333333333333336,15.151515151515156,20.0,-0.33333333333333337,-40.8450704225352,0.0,-14.285714285714292,20.0,,0.1428571428571429,0.0
ARGENTINA,2017-04-10,2017_Hong_Kong,Match_20_USA_vs_Argentina,-5.23415977961433,73.68421052631578,66.66666666666666,0.8,-3.3333333333333286,0.25,33.333333333333336,50.0,0.0,0.0625,0.0
ENGLAND,2017-04-10,2017_Hong_Kong,Match_31_USA_vs_England,-3.5019455252918306,58.823529411764696,66.66666666666666,-0.8,7.692307692307693,0.0,20.0,50.0,0.0,0.09090909090909094,0.0
SOUTH AFRICA,2017-04-10,2017_Hong_Kong,Match_40_USA_vs_South_Africa,-3.529411764705884,-9.43396226415095,-11.111111111111114,0.09999999999999998,9.278350515463913,-1.6666666666666667,60.0,100.0,,0.08333333333333337,0.0
AUSTRALIA,2017-04-10,2017_Hong_Kong,Match_44_Australia_vs_USA,-2.232142857142861,-15.555555555555557,-14.285714285714292,-0.08333333333333337,-8.196721311475414,0.25,-60.0,-33.333333333333336,-1.0,0.2727272727272727,
RUSSIA,2017-04-10,2017_Hong_Kong,Match_4_USA_vs_Russia,-40.0,33.333333333333336,33.333333333333336,0.0,-33.333333333333336,0.5,50.0,50.0,0.0,0.07692307692307687,
CHILE,2017-03-06,2017_Las_Vegas,Match_13_USA_vs_Chile,2.3364485981308434,100.0,100.0,,1.9607843137254832,,0.0,0.0,-1.0,0.0,0.5
ENGLAND,2017-03-06,2017_Las_Vegas,Match_22_England_vs_USA,10.123456790123456,-17.07317073170732,-14.285714285714292,-0.16666666666666669,11.47540983606558,0.3333333333333333,-14.285714285714292,-20.0,1.0,0.05555555555555547,
ARGENTINA,2017-03-06,2017_Las_Vegas,Match_30_Argentina_vs_USA,-22.33502538071066,5.0,0.0,0.33333333333333337,-30.909090909090907,-0.25,42.85714285714286,20.0,0.5,-0.31818181818181823,
SOUTH AFRICA,2017-03-06,2017_Las_Vegas,Match_39_South_Africa_vs_USA,-9.749303621169915,-8.108108108108112,-14.285714285714292,0.3333333333333333,0.0,1.3333333333333335,0.0,33.333333333333336,,-0.2857142857142857,
NEW ZEALAND,2017-03-06,2017_Las_Vegas,Match_44_USA_vs_New_Zealand,11.16625310173697,11.764705882352942,0.0,0.6666666666666666,-3.125,,-14.285714285714292,-20.0,,-0.125,0.0
SAMOA,2017-03-06,2017_Las_Vegas,Match_5_USA_vs_Samoa,20.891364902506965,67.74193548387098,60.0,0.75,35.38461538461539,0.0,-20.0,0.0,,0.09999999999999998,
KENYA,2017-05-22,2017_London,Match_13_USA_vs_Kenya,26.130653266331663,100.0,100.0,,26.66666666666667,0.42857142857142855,-50.0,-50.0,,0.04166666666666663,0.0
SOUTH AFRICA,2017-05-22,2017_London,Match_22_South_Africa_vs_USA,6.352941176470594,33.333333333333336,33.333333333333336,0.0,2.857142857142861,0.0,-33.333333333333336,-33.333333333333336,,0.04807692307692313,1.0
AUSTRALIA,2017-05-22,2017_London,Match_29_USA_vs_Australia,28.255528255528255,37.77777777777777,42.85714285714286,-0.4,36.111111111111114,0.5,33.333333333333336,100.0,,0.1428571428571429,0.0
SCOTLAND,2017-05-22,2017_London,Match_39_USA_vs_Scotland,-15.16314779270634,-20.0,-20.0,0.0,-5.154639175257728,0.5,33.333333333333336,33.333333333333336,0.0,-0.1071428571428571,0.0
CANADA,2017-05-22,2017_London,Match_44_USA_vs_Canada,11.16625310173697,-7.317073170731703,-14.285714285714292,0.41666666666666663,37.31343283582089,0.25,-66.66666666666666,-60.0,,-0.11111111111111116,0.0
WALES,2017-05-22,2017_London,Match_5_USA_vs_Wales,-16.931216931216937,-40.0,-33.333333333333336,-0.5,-16.92307692307692,0.3333333333333333,-66.66666666666666,-60.0,,0.125,0.0
WALES,2017-05-15,2017_Paris,Match_12_USA_vs_Wales,27.071823204419886,46.15384615384616,50.0,-0.33333333333333337,21.568627450980387,0.2,-33.333333333333336,-100.0,,0.0,
NEW ZEALAND,2017-05-15,2017_Paris,Match_20_USA_vs_New_Zealand,-12.58278145695364,-31.707317073170735,-42.85714285714286,0.8,-20.634920634920633,,-33.333333333333336,-33.333333333333336,,0.025000000000000022,
ENGLAND,2017-05-15,2017_Paris,Match_30_England_vs_USA,-20.519480519480524,-36.84210526315789,-33.333333333333336,-0.25,0.0,0.0,33.333333333333336,20.0,0.0,0.0,0.0
FIJI,2017-05-15,2017_Paris,Match_37_Fiji_vs_USA,16.195372750642676,26.315789473684205,33.333333333333336,-0.5,37.03703703703704,-0.08333333333333337,-33.333333333333336,-14.285714285714292,0.33333333333333337,0.16666666666666663,1.0
SAMOA,2017-05-15,2017_Paris,Match_43_USA_vs_Samoa,21.445783132530124,11.627906976744185,14.285714285714292,-0.16666666666666663,37.14285714285714,0.6,33.333333333333336,0.0,0.0,-0.09999999999999998,0.0
ARGENTINA,2017-05-15,2017_Paris,Match_4_USA_vs_Argentina,8.602150537634415,15.555555555555557,14.285714285714292,0.08333333333333337,14.285714285714292,0.46666666666666673,100.0,100.0,-1.0,-0.1428571428571429,
SCOTLAND,2017-04-17,2017_Singapore,Match_16_USA_vs_Scotland,-6.264501160092806,11.86440677966101,11.111111111111114,0.050000000000000044,-13.043478260869563,0.0,100.0,100.0,,0.0,
NEW ZEALAND,2017-04-17,2017_Singapore,Match_24_USA_vs_New_Zealand,-7.079646017699119,-20.0,-20.0,0.0,8.82352941176471,,-100.0,-100.0,-0.5,0.25,
FIJI,2017-04-17,2017_Singapore,Match_29_Fiji_vs_USA,62.98200514138818,11.627906976744185,14.285714285714292,-0.16666666666666663,90.9090909090909,-0.4166666666666667,-100.0,-100.0,0.0,,0.0
AUSTRALIA,2017-04-17,2017_Singapore,Match_39_USA_vs_Australia,56.63265306122449,70.2127659574468,71.42857142857142,-0.16666666666666663,67.12328767123287,0.6666666666666666,-33.333333333333336,100.0,,-0.16666666666666663,
CANADA,2017-04-17,2017_Singapore,Match_45_USA_vs_Canada,-20.67307692307692,-15.555555555555557,-14.285714285714292,-0.08333333333333337,-37.5,-0.25,-100.0,-100.0,,0.125,0.0
WALES,2017-04-17,2017_Singapore,Match_8_USA_vs_Wales,-21.148825065274153,29.629629629629626,25.0,0.33333333333333337,-40.8450704225352,0.15000000000000002,100.0,100.0,,0.0,0.0
CANADA,2017-02-06,2017_Sydney,Match_10_Canada_vs_USA,35.57692307692307,24.0,25.0,-0.06666666666666665,56.9620253164557,-1.0,-33.333333333333336,-100.0,,0.20833333333333337,0.0
RUSSIA,2017-02-06,2017_Sydney,Match_17_USA_vs_Russia,-1.68539325842697,-9.677419354838705,-20.0,0.6666666666666667,-3.448275862068968,0.0,33.333333333333336,0.0,-0.5,0.33333333333333337,
ARGENTINA,2017-02-06,2017_Sydney,Match_1_Argentina_vs_USA,-17.17791411042944,7.317073170731703,14.285714285714292,-0.41666666666666663,-6.666666666666671,0.6,100.0,100.0,-1.0,0.0,0.0
SOUTH AFRICA,2017-02-06,2017_Sydney,Match_31_USA_vs_South_Africa,23.359580052493442,-35.48387096774193,-20.0,-1.0,34.61538461538461,-1.0,-100.0,-100.0,0.0,0.25,
WALES,2017-02-06,2017_Sydney,Match_38_USA_vs_Wales,1.5151515151515156,31.03448275862069,20.0,0.6666666666666666,11.764705882352942,0.16666666666666663,60.0,50.0,,0.11111111111111105,0.0
FIJI,2017-02-06,2017_Sydney,Match_43_Fiji_vs_USA,-1.5974440894568716,-48.93617021276595,-42.85714285714286,-0.5,33.333333333333336,0.2,-33.333333333333336,0.0,-1.0,0.06666666666666665,0.0
FRANCE,2017-03-22,2017_Vancouver,Match_10_USA_vs_France,17.647058823529406,24.0,25.0,-0.06666666666666665,13.43283582089552,-0.75,20.0,33.333333333333336,0.33333333333333337,0.13333333333333341,
AUSTRALIA,2017-03-22,2017_Vancouver,Match_18_USA_vs_Australia,-13.025210084033617,70.58823529411765,66.66666666666666,0.4,-30.303030303030305,0.3333333333333333,14.285714285714292,14.285714285714292,,0.0,0.0
JAPAN,2017-03-22,2017_Vancouver,Match_2_USA_vs_Japan,72.27272727272728,100.0,100.0,,73.49397590361446,0.8571428571428571,-66.66666666666666,-60.0,,0.33333333333333337,0.5
ARGENTINA,2017-03-22,2017_Vancouver,Match_30_USA_vs_Argentina,3.4300791556728285,7.692307692307693,0.0,0.5,3.5714285714285694,,14.285714285714292,0.0,1.0,0.2857142857142857,1.0
SOUTH AFRICA,2017-03-22,2017_Vancouver,Match_39_South_Africa_vs_USA,45.5,-16.66666666666667,0.0,-1.0,63.38028169014084,-0.6666666666666666,-50.0,-100.0,,0.33333333333333337,0.0
FIJI,2017-03-22,2017_Vancouver,Match_44_USA_vs_Fiji,-16.799999999999997,-7.692307692307693,0.0,-0.5,-13.84615384615384,0.0,33.333333333333336,100.0,,0.1428571428571429,
SAMOA,2017-01-29,2017_Wellington,Match_15_USA_vs_Samoa,9.090909090909093,33.333333333333336,33.333333333333336,0.0,24.0,0.0,0.0,0.0,0.0,-0.33333333333333337,0.0
NEW ZEALAND,2017-01-29,2017_Wellington,Match_24_New_Zealand_vs_USA,-18.584070796460182,-33.333333333333336,-33.333333333333336,0.0,-24.675324675324674,0.5,-20.0,0.0,,-0.08333333333333337,
JAPAN,2017-01-29,2017_Wellington,Match_26_USA_vs_Japan,3.5087719298245617,15.151515151515156,20.0,-0.33333333333333337,15.625,0.0,9.090909090909093,0.0,0.33333333333333337,0.18055555555555558,
KENYA,2017-01-29,2017_Wellington,Match_35_Kenya_vs_USA,5.856832971800429,-22.58064516129032,-20.0,-0.16666666666666663,21.73913043478261,,-11.111111111111114,-14.285714285714292,,0.16666666666666663,
FRANCE,2017-01-29,2017_Wellington,Match_7_USA_vs_France,7.455012853470436,0.0,0.0,0.0,12.727272727272734,0.16666666666666669,0.0,0.0,0.0,0.11111111111111116,
